ID;Beweging;TrajectName;Timestamp;ShipID;CEMTKlasse;Width;Length;DimensionA;DimensionB;DimensionC;DimensionD
4384400;IN;Traject2;2018-05-03 19:23:24.353;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384400;UIT;Traject3;2018-05-03 19:23:24.353;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384491;IN;Traject1;2018-05-03 19:40:25.510;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384491;UIT;Traject2;2018-05-03 19:40:25.510;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384547;UIT;Traject1;2018-05-03 19:53:13.450;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388171;IN;Traject1;2018-05-04 15:20:39.013;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388233;UIT;Traject1;2018-05-04 15:33:45.173;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388233;IN;Traject2;2018-05-04 15:33:45.173;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388282;UIT;Traject2;2018-05-04 15:46:54.797;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388282;IN;Traject3;2018-05-04 15:46:54.797;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388307;UIT;Traject3;2018-05-04 15:52:15.673;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388307;IN;Traject4;2018-05-04 15:52:15.673;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388333;UIT;Traject4;2018-05-04 15:57:45.957;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388333;IN;Traject5;2018-05-04 15:57:45.957;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388481;UIT;Traject5;2018-05-04 16:23:44.727;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388481;IN;Traject6;2018-05-04 16:23:44.727;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4388608;UIT;Traject6;2018-05-04 16:46:03.417;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4389992;IN;Traject6;2018-05-14 22:51:58.617;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390200;IN;Traject5;2018-05-14 23:29:09.697;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390200;UIT;Traject6;2018-05-14 23:29:09.697;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390355;IN;Traject4;2018-05-14 23:55:19.607;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390355;UIT;Traject5;2018-05-14 23:55:19.607;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390394;IN;Traject3;2018-05-15 00:01:47.170;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390394;UIT;Traject4;2018-05-15 00:01:47.170;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390434;IN;Traject2;2018-05-15 00:09:27.467;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390434;UIT;Traject3;2018-05-15 00:09:27.467;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390550;UIT;Traject2;2018-05-15 00:31:08.907;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390550;IN;Traject1;2018-05-15 00:31:08.907;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4390686;UIT;Traject1;2018-05-15 00:45:38.033;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394604;IN;Traject1;2018-05-15 08:07:39.640;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394736;UIT;Traject1;2018-05-15 08:21:09.953;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
